# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

V2_TaxiHigh_ManhattanMidtownGrid__TP07_BurstWindow  (# pares con |r|>=0.7: 12)
S6_FamilyGroups_SmallPersistent__TP04_FewLarge  (# pares con |r|>=0.7: 12)
D1_ShelterHotspots_Clusters__TP08_HubTarget  (# pares con |r|>=0.7: 12)
D1_ShelterHotspots_Clusters__TP01_Baseline  (# pares con |r|>=0.7: 12)
D6_ShortTtlCritical_5to10min__TP02_LowLoad  (# pares con |r|>=0.7: 12)
S1_StrongCommunities_SeparateClusters__TP07_BurstWindow  (# pares con |r|>=0.7: 12)
S4_RandomMixing_NoHotspots__TP05_CriticalTTL  (# pares con |r|>=0.7: 12)
D1_ShelterHotspots_Clusters__TP12_GroupToGroup  (# pares con |r|>=0.7: 12)
C3_Hackathon_24h__TP04_FewLarge  (# pares con |r|>=0.7: 12)
U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget  (# pares con |r|>=0.7: 12)
C6_EmergencyDrill_Evacuation__TP03_ManySmall  (# pares con |r|>=0.7: 12)
U5_WorkdayShort_HelsinkiDowntown__TP11_ManyToOne  (# pares con |r|>=0.7: 12)
U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany  (# pares con |r|>=0.7: 12)
D2_PartitionedCity_MuleBridge__TP05_CriticalTTL  (# pares con |r|>=0.7: 12)
R2_VillagesTrails_ThreeClusters__TP05_CriticalTTL  (# pares con |r|>=0.7: 12)
U7_HighTimeVariance_HelsinkiDowntown__TP10_Storm  (# pares con |r|>=0.7: 12)
R6_SparseLongRange__TP01_Baseline  (# pares con |r|>=0.7: 12)
U3_MicroMobility_HelsinkiDowntown__TP05_CriticalTTL  (# pares con |r|>=0.7: 12)
U7_HighTimeVariance_HelsinkiDowntown__TP12_GroupToGroup  (# pares con |r|>=0.7: 12)
S5_TwoLayer_StudentsStaff__TP07_BurstWindow  (# pares con |r|>=0.7: 12)
